"CheckId","Description","Status","CurrentValue","ExpectedValue"
"2.1","Ensure 'Ad Hoc Distributed Queries' is set to '0'","Pass","0","0"
"2.2","Ensure CLR is disabled or strict CLR security is enabled (strict security enabled, check not applicable)","Pass","clr strict security = 1","Not Applicable (strict security = 1)"
"2.3","Ensure 'Cross DB Ownership Chaining' is set to '0'","Pass","Configured: 0, InUse: 0","Configured: 0, InUse: 0"
"2.4","Ensure 'Database Mail XPs' is set to '0'","Pass","Configured: 0, InUse: 0","Configured: 0, InUse: 0"
"2.5","Ensure 'Ole Automation Procedures' is set to '0'","Pass","Configured: 0, InUse: 0","0 (both)"
"2.6","Ensure 'Remote Access' is set to '0'","Pass","Configured: 0, InUse: 0","0 (both)"
"2.7","Ensure 'Remote Admin Connections' is set to '0'","Pass","Configured: 0, InUse: 0","0 (both)"
"2.8","Ensure 'Scan For Startup Procs' is set to '0'","Pass","Configured: 0, InUse: 0","0 (both)"
"2.9","Ensure 'Trustworthy' Database Property is set to 'Off' (excluding msdb)","Fail","","No databases with Trustworthy ON (excluding msdb)"
"2.11","Ensure SQL Server is configured to use non-default ports","Error","Unable to retrieve port configuration","0"
"2.12","Ensure 'Hide Instance' is set to 'Enabled'","Error","Unable to retrieve HideInstance setting","1"
"2.13","Ensure the 'sa' Login Account is set to 'Disabled'","Fail",,"1"
"2.14","Ensure the 'sa' Login Account has been renamed","Fail","'sa' Login Account hasn't been renamed","'sa' Login Account has been renamed"
"2.15","Ensure 'AUTO_CLOSE' is set to 'OFF' on contained databases","Fail","","No contained databases with AUTO_CLOSE ON"
"2.16","Ensure no login exists with the name 'sa'","Fail","sa login exists","No 'sa' login"
"2.17","Ensure 'clr strict security' is enabledEnsure 'clr strict security' is enabled","Fail","value_configured = 0, value_in_use = 0","value_configured = 1, value_in_use = 1"
"3.1","Ensure 'Server Authentication' is set to 'Windows Authentication Mode'","Fail",,"1"
"3.2","Ensure 'CONNECT' permissions are revoked from the 'guest' user in all databases except master, tempdb, msdb","Pass","0","0"
"3.3","Ensure no orphaned users exist in any database","Pass","0","0"
"3.4","Ensure SQL Authentication is not used in contained databases","Fail","","No SQL auth in contained databases"
"3.8","Ensure only default permissions are granted to the public server role","Fail","","No additional public permissions"
"3.9","Ensure Windows BUILTIN groups are not SQL Logins","Fail","","No BUILTIN group logins"
"3.10","Ensure Windows local groups are not SQL Logins. Found Windows local groups as SQL Logins: ","Fail","1","0"
"3.11","Ensure the public role in the msdb database is not granted access to SQL Agent proxies. Found proxies accessible to public: ","Fail","1","0"
"3.13","Ensure no users other than dbo are assigned to sensitive roles in msdb database","Pass","0","0"
"4.2","Ensure SQL logins with sysadmin or CONTROL SERVER permissions have password expiration checked","Pass","0","0"
"4.3","Ensure SQL logins have password complexity enforced","Pass","0","0"
"5.1","Ensure Number of Error Log Files is Greater Than or Equal to 12 or Set to -1","Pass","-1","12 or higher, or -1"
"5.2","Ensure 'Default Trace Enabled' Server Configuration Option is Set to '1'. Configured: 0, In Use: 0","Fail","Disabled","Enabled"
"5.3","Ensure 'Login Auditing' is set to 'failed logins' or 'all'. Found audit level: Unknown","Fail","Unknown","failure or all"
"6.2","Ensure 'CLR Assembly Permission Set' is set to 'SAFE_ACCESS' for all user-defined CLR assemblies","Pass","0","0"
"7.1","Ensure 'Symmetric Key encryption algorithm' is set to 'AES_128' or higher in non-system databases","Pass","0","0"
"7.2","Ensure 'Asymmetric Key Size' is set to 'greater than or equal to 2048' in non-system databases","Pass","0","0"
"7.3","Ensure Database Backups are Encrypted. Found non-encrypted backups for databases: ","Fail","1","0"
"7.4","Ensure Network Encryption is Configured and Enabled","Pass","0","0"
"7.5","Ensure user databases are encrypted with Transparent Data Encryption (TDE). Found non-encrypted databases: ","Fail","1","0"
